t,theta
0.0,-5.289167e-05
0.0010000666711114075,-5.2571297e-05
0.002000133342222815,-5.173683e-05
0.0030002000133342224,-5.0373375e-05
0.00400026668444563,-4.8473477e-05
0.005000333355557038,-4.5984983e-05
0.006000400026668445,-4.3042004e-05
0.0070004666977798525,-3.954768e-05
0.00800053336889126,-3.552437e-05
0.009000600040002667,-3.0972064e-05
0.010000666711114076,-2.5823712e-05
0.011000733382225483,-2.0302832e-05
0.01200080005333689,-1.4081597e-05
0.013000866724448298,-7.4654818e-06
0.014000933395559705,-2.5331974e-07
0.015001000066671114,7.376075e-06
0.01600106673778252,1.5631318e-05
0.017001133408893927,2.4408102e-05
0.018001200080005334,3.363192e-05
0.019001266751116744,4.3421984e-05
0.02000133342222815,5.3726137e-05
0.021001400093339558,6.456673e-05
0.022001466764450965,7.583201e-05
0.023001533435562372,8.764863e-05
0.02400160010667378,0.00010000169
0.02500166677778519,0.000112876296
0.026001733448896596,0.00012619793
0.027001800120008003,0.00014007092
0.02800186679111941,0.00015451014
0.029001933462230817,0.0001693666
0.030002000133342227,0.00018476695
0.031002066804453634,0.00020059943
0.03200213347556504,0.00021702051
0.03300220014667645,0.00023388863
0.034002266817787855,0.00025130808
0.035002333488899265,0.00026916713
0.03600240016001067,0.00028742105
0.03700246683112208,0.00030630082
0.03800253350223349,0.00032564998
0.03900260017334489,0.00034548342
0.0400026668444563,0.0003658384
0.041002733515567706,0.00038662553
0.042002800186679116,0.00040785223
0.04300286685779053,0.00042965263
0.04400293352890193,0.0004518926
0.04500300020001334,0.00047462434
0.046003066871124744,0.0004977286
0.047003133542236154,0.00052140653
0.04800320021334756,0.0005455464
0.04900326688445897,0.00057019293
0.05000333355557038,0.00059521943
0.05100340022668178,0.00062070787
0.05200346689779319,0.00064671785
0.053003533568904596,0.00067320466
0.054003600240016006,0.0007001385
0.055003666911127416,0.0007275045
0.05600373358223882,0.00075533986
0.05700380025335023,0.0007835999
0.05800386692446163,0.000812307
0.059003933595573044,0.0008414909
0.060004000266684454,0.0008711964
0.06100406693779586,0.00090125203
0.06200413360890727,0.00093171
0.06300420028001867,0.0009627193
0.06400426695113008,0.000994131
0.06500433362224149,0.0010258853
0.0660044002933529,0.0010582507
0.0670044669644643,0.0010909736
0.06800453363557571,0.0011240169
0.06900460030668712,0.0011576489
0.07000466697779853,0.0011915863
0.07100473364890994,0.0012259856
0.07200480032002134,0.0012607798
0.07300486699113275,0.0012960434
0.07400493366224416,0.0013317093
0.07500500033335557,0.0013677552
0.07600506700446698,0.0014043301
0.07700513367557837,0.0014411509
0.07800520034668978,0.0014784113
0.0790052670178012,0.0015161037
0.0800053336889126,0.0015541911
0.08100540036002402,0.0015926585
0.08200546703113541,0.0016316399
0.08300553370224682,0.0016709119
0.08400560037335823,0.0017106682
0.08500566704446964,0.0017505959
0.08600573371558105,0.0017911047
0.08700580038669245,0.001831919
0.08800586705780386,0.0018730685
0.08900593372891527,0.001914598
0.09000600040002668,0.0019566268
0.09100606707113809,0.0019990206
0.09200613374224949,0.002041787
0.0930062004133609,0.0020847917
0.09400626708447231,0.0021282583
0.09500633375558372,0.0021720827
0.09600640042669512,0.0022161826
0.09700646709780653,0.002260685
0.09800653376891794,0.0023055598
0.09900660044002935,0.002350673
0.10000666711114076,0.0023961663
0.10100673378225215,0.0024419576
0.10200680045336356,0.0024879873
0.10300686712447497,0.0025342256
0.10400693379558638,0.0025808662
0.1050070004666978,0.0026276484
0.10600706713780919,0.002674669
0.1070071338089206,0.0027219579
0.10800720048003201,0.0027695
0.10900726715114342,0.0028172433
0.11000733382225483,0.002865158
0.11100740049336623,0.0029131472
0.11200746716447764,0.0029614717
0.11300753383558905,0.0030098855
0.11400760050670046,0.003058508
0.11500766717781187,0.0031071901
0.11600773384892327,0.0031560883
0.11700780052003468,0.0032050312
0.11800786719114609,0.0032541007
0.1190079338622575,0.0033032894
0.12000800053336891,0.0033525676
0.1210080672044803,0.0034018904
0.12200813387559171,0.0034513175
0.12300820054670313,0.0035007596
0.12400826721781454,0.0035502315
0.12500833388892593,0.0035998002
0.12600840056003734,0.0036493912
0.12700846723114875,0.0036989674
0.12800853390226016,0.0037485287
0.12900860057337157,0.0037981346
0.13000866724448298,0.0038477033
0.1310087339155944,0.0038972646
0.1320088005867058,0.003946759
0.1330088672578172,0.0039962083
0.1340089339289286,0.0040457025
0.13500900060004,0.0040949285
0.13600906727115142,0.0041442662
0.13700913394226283,0.00419344
0.13800920061337424,0.004242532
0.13900926728448565,0.004291557
0.14000933395559706,0.0043404773
0.14100940062670847,0.004389271
0.14200946729781988,0.004437983
0.14300953396893126,0.0044864044
0.14400960064004267,0.004534811
0.14500966731115408,0.0045829862
0.1460097339822655,0.00463105
0.1470098006533769,0.004678972
0.14800986732448831,0.0047267377
0.14900993399559972,0.004774146
0.15001000066671114,0.0048214197
0.15101006733782255,0.004868582
0.15201013400893396,0.004915476
0.15301020068004534,0.0049622133
0.15401026735115675,0.0050086156
0.15501033402226816,0.005054824
0.15601040069337957,0.005100742
0.15701046736449098,0.0051465333
0.1580105340356024,0.005191855
0.1590106007067138,0.0052370504
0.1600106673778252,0.0052819997
0.16101073404893662,0.0053265914
0.16201080072004803,0.0053708106
0.16301086739115941,0.0054148138
0.16401093406227082,0.005458571
0.16501100073338223,0.0055019334
0.16601106740449365,0.0055449456
0.16701113407560506,0.005587712
0.16801120074671647,0.005630076
0.16901126741782788,0.0056720674
0.1700113340889393,0.0057138056
0.1710114007600507,0.0057551116
0.1720114674311621,0.0057959706
