t,theta,omega_dot
0.0,0.0,0.0
0.0010000666711114075,3.9936013330388356e-07,0.0007981493657076387
0.002000133342222815,1.5948911243612352e-06,0.0015924448917791466
0.0030002000133342224,3.5829273314250295e-06,0.002382804765141214
0.00400026668444563,6.359819994449113e-06,0.003169154104647096
0.005000333355557038,9.920906117825463e-06,0.003951395441122147
0.006000400026668445,1.4261927028360427e-05,0.004729444980893493
0.0070004666977798525,1.937888386737152e-05,0.00550322859516319
0.00800053336889126,2.526756019491454e-05,0.006272665429243148
0.009000600040002667,3.1923480578268416e-05,0.007037677092475454
0.010000666711114076,3.934222080606706e-05,0.007798184706887592
0.011000733382225483,4.7519240781692284e-05,0.008554110568975036
0.01200080005333689,5.6449918276242956e-05,0.009305377796101447
0.013000866724448298,6.612957499118866e-05,0.010051910074764482
0.014000933395559705,7.655342672869364e-05,0.010793632286214985
0.015001000066671114,8.771662790361066e-05,0.011530469913611827
0.01600106673778252,9.961427283488034e-05,0.01226234902821189
0.017001133408893927,0.00011224135294592322,0.012989196747061813
0.018001200080005334,0.00012559276007260249,0.013710941211122969
0.019001266751116744,0.00013966340359019853,0.014427510810730102
0.02000133342222815,0.00015444810303780573,0.015138834895648469
0.021001400093339558,0.00016994155273097338,0.015844844009084636
0.022001466764450965,0.00018613836085362573,0.016545469629178047
0.023001533435562372,0.00020303305004956083,0.01724064416522291
0.02400160010667378,0.00022062016341355936,0.017930300280667697
0.02500166677778519,0.00023889420092146948,0.01861437129915734
0.026001733448896596,0.0002578495417073063,0.01929279170097532
0.027001800120008003,0.00027748049598752626,0.01996549679138601
0.02800186679111941,0.0002977813050610267,0.020632422700634687
0.029001933462230817,0.00031874616192657064,0.021293506461043794
0.030002000133342227,0.0003403692093439994,0.021948685999763087
0.031002066804453634,0.0003626445095958266,0.02259790002569691
0.03200213347556504,0.0003855660602350586,0.02324108808839121
0.03300220014667645,0.0004091277941044003,0.023878190578105345
0.034002266817787855,0.0004333235852708192,0.02450914874536296
0.035002333488899265,0.00045814730745007983,0.025133904893426415
0.03600240016001067,0.0004835927052344392,0.025752401954067923
0.03700246683112208,0.0005096534886405063,0.02636458379904904
0.03800253350223349,0.0005363233054041387,0.026970395148848643
0.03900260017334489,0.0005635957633578127,0.027569781627109824
0.0400026668444563,0.0005914644579726404,0.028162689827476568
0.041002733515567706,0.0006199228859621843,0.028749067107095468
0.042002800186679116,0.0006489644860825241,0.029328861685258216
0.04300286685779053,0.0006785826429142802,0.029902022653238613
0.04400293352890193,0.0007087706879054632,0.030468499977558454
0.04500300020001334,0.00073952190041432,0.03102824450325336
0.046003066871124744,0.0007708295087521808,0.031581207957138605
0.047003133542236154,0.0008026866912263069,0.03212734295107497
0.04800320021334756,0.0008350865771827366,0.0326666029852346
0.04900326688445897,0.0008680222480491336,0.03319894245136683
0.05000333355557038,0.0009014867384384089,0.03372431663597584
0.05100340022668178,0.000935473076569461,0.03424268166645051
0.05200346689779319,0.0009699742556607416,0.03475399455735042
0.053003533568904596,0.0010049832011251138,0.035258213262783875
0.054003600240016006,0.0010404927988878665,0.03575529664009851
0.055003666911127416,0.0010764958965939317,0.03624520445290854
0.05600373358223882,0.0011129853048151034,0.03672789737412217
0.05700380025335023,0.0011499537982572578,0.03720333698896892
0.05800386692446163,0.0011873941169675706,0.03767148579802696
0.059003933595573044,0.0012252989675417374,0.038132307220250475
0.060004000266684454,0.0012636610243311906,0.03858576559599699
0.06100406693779586,0.0013024729306503197,0.03903182619005475
0.06200413360890727,0.0013417272924575268,0.039470455138708456
0.06300420028001867,0.001381416597835655,0.03990161884507886
0.06400426695113008,0.0014215333429572347,0.04032528490980104
0.06500433362224149,0.0014620700140489968,0.040741421990970576
0.0660044002933529,0.0015030190667276425,0.041149999644543606
0.0670044669644643,0.0015443729269249832,0.041550988325266734
