t,theta
0.0,-0.0006404072
0.0010000666711114075,-0.00064224005
0.002000133342222815,-0.00064375997
0.0030002000133342224,-0.00064475834
0.00400026668444563,-0.0006453693
0.005000333355557038,-0.000645563
0.006000400026668445,-0.00064534694
0.0070004666977798525,-0.0006447062
0.00800053336889126,-0.00064359605
0.009000600040002667,-0.00064215064
0.010000666711114076,-0.0006402433
0.011000733382225483,-0.000637874
0.01200080005333689,-0.000635162
0.013000866724448298,-0.00063207746
0.014000933395559705,-0.00062853843
0.015001000066671114,-0.00062452257
0.01600106673778252,-0.0006201118
0.017001133408893927,-0.000615336
0.018001200080005334,-0.0006100908
0.019001266751116744,-0.000604555
0.02000133342222815,-0.0005983934
0.021001400093339558,-0.0005920157
0.022001466764450965,-0.0005852133
0.023001533435562372,-0.00057797134
0.02400160010667378,-0.00057029724
0.02500166677778519,-0.00056222826
0.026001733448896596,-0.0005538538
0.027001800120008003,-0.00054495037
0.02800186679111941,-0.00053569674
0.029001933462230817,-0.00052604824
0.030002000133342227,-0.0005160272
0.031002066804453634,-0.00050555915
0.03200213347556504,-0.00049470365
0.03300220014667645,-0.00048348308
0.034002266817787855,-0.00047183037
0.035002333488899265,-0.00045980513
0.03600240016001067,-0.00044743717
0.03700246683112208,-0.00043465197
0.03800253350223349,-0.0004215315
0.03900260017334489,-0.0004079491
0.0400026668444563,-0.0003940165
0.041002733515567706,-0.00037970394
0.042002800186679116,-0.000364922
0.04300286685779053,-0.00034987926
0.04400293352890193,-0.00033439696
0.04500300020001334,-0.00031858683
0.046003066871124744,-0.00030221045
0.047003133542236154,-0.00028571486
0.04800320021334756,-0.00026881695
0.04900326688445897,-0.0002513975
0.05000333355557038,-0.00023374707
0.05100340022668178,-0.0002156794
0.05200346689779319,-0.00019727647
0.053003533568904596,-0.00017840415
0.054003600240016006,-0.00015924871
0.055003666911127416,-0.0001398176
0.05600373358223882,-0.000119931996
0.05700380025335023,-9.967387e-05
0.05800386692446163,-7.907301e-05
0.059003933595573044,-5.811453e-05
0.060004000266684454,-3.684312e-05
0.06100406693779586,-1.513958e-05
0.06200413360890727,6.787479e-06
0.06300420028001867,2.9161572e-05
0.06400426695113008,5.1885843e-05
0.06500433362224149,7.490814e-05
0.0660044002933529,9.825826e-05
0.0670044669644643,0.00012201071
0.06800453363557571,0.00014603138
0.06900460030668712,0.00017037988
0.07000466697779853,0.0001951456
0.07100473364890994,0.00022010505
0.07200480032002134,0.0002455935
0.07300486699113275,0.00027127564
0.07400493366224416,0.00029737502
0.07500500033335557,0.00032372773
0.07600506700446698,0.00035033375
0.07700513367557837,0.0003773421
0.07800520034668978,0.00040467083
0.0790052670178012,0.00043236464
0.0800053336889126,0.00046029687
0.08100540036002402,0.0004885495
0.08200546703113541,0.00051718205
0.08300553370224682,0.00054606795
0.08400560037335823,0.000575237
0.08500566704446964,0.0006048158
0.08600573371558105,0.0006345734
0.08700580038669245,0.0006647259
0.08800586705780386,0.0006950423
0.08900593372891527,0.00072580576
0.09000600040002668,0.000756748
0.09100606707113809,0.0007881522
0.09200613374224949,0.00081959367
0.0930062004133609,0.00085151196
0.09400626708447231,0.00088363886
0.09500633375558372,0.0009161234
0.09600640042669512,0.00094883144
0.09700646709780653,0.0009818599
0.09800653376891794,0.001015164
0.09900660044002935,0.0010486394
0.10000666711114076,0.001082547
0.10100673378225215,0.0011165217
0.10200680045336356,0.0011509061
0.10300686712447497,0.0011855066
0.10400693379558638,0.0012202784
0.1050070004666978,0.0012553483
0.10600706713780919,0.0012905598
0.1070071338089206,0.0013260841
0.10800720048003201,0.0013615787
0.10900726715114342,0.0013974458
0.11000733382225483,0.0014333874
0.11100740049336623,0.0014696047
0.11200746716447764,0.001505807
0.11300753383558905,0.0015423
0.11400760050670046,0.0015788078
0.11500766717781187,0.0016155019
0.11600773384892327,0.0016523898
0.11700780052003468,0.0016892701
0.11800786719114609,0.0017263442
0.1190079338622575,0.0017633438
0.12000800053336891,0.0018005446
0.1210080672044803,0.0018378347
0.12200813387559171,0.0018750802
0.12300820054670313,0.001912415
0.12400826721781454,0.0019498467
0.12500833388892593,0.0019871444
0.12600840056003734,0.0020247698
0.12700846723114875,0.0020621717
0.12800853390226016,0.0020996034
0.12900860057337157,0.0021371096
0.13000866724448298,0.0021745414
0.1310087339155944,0.0022120029
0.1320088005867058,0.0022493675
0.1330088672578172,0.0022867545
0.1340089339289286,0.0023240298
0.13500900060004,0.0023613274
0.13600906727115142,0.0023985654
0.13700913394226283,0.0024356693
0.13800920061337424,0.0024727508
0.13900926728448565,0.002509676
0.14000933395559706,0.0025465637
0.14100940062670847,0.0025833994
0.14200946729781988,0.002620019
0.14300953396893126,0.0026565641
0.14400960064004267,0.0026929975
0.14500966731115408,0.002729319
0.1460097339822655,0.00276535
0.1470098006533769,0.002801478
0.14800986732448831,0.002837278
0.14900993399559972,0.0028729737
0.15001000066671114,0.0029085353
0.15101006733782255,0.0029438287
0.15201013400893396,0.0029789507
0.15301020068004534,0.0030139163
0.15401026735115675,0.0030486807
0.15501033402226816,0.0030832067
0.15601040069337957,0.0031175986
0.15701046736449098,0.0031516403
0.1580105340356024,0.0031855777
0.1590106007067138,0.0032191426
0.1600106673778252,0.0032526702
0.16101073404893662,0.003285706
0.16201080072004803,0.003318645
0.16301086739115941,0.0033513755
0.16401093406227082,0.0033837482
0.16501100073338223,0.0034158975
0.16601106740449365,0.0034476668
0.16701113407560506,0.0034791678
0.16801120074671647,0.0035104156
0.16901126741782788,0.0035413727
0.1700113340889393,0.0035720542
