boundaryloss,physicsloss,totalloss
11.653745651245117,0.8120017051696777,12.465747833251953
5.199254035949707,0.685621976852417,5.884876251220703
1.8051296472549438,0.5844484567642212,2.389578104019165
0.391622930765152,0.600345253944397,0.9919681549072266
0.14276239275932312,0.6227507591247559,0.7655131816864014
0.48240044713020325,0.581793487071991,1.0641939640045166
0.9756327271461487,0.5057846307754517,1.4814174175262451
1.3159784078598022,0.4338117837905884,1.7497901916503906
1.3930968046188354,0.36935514211654663,1.7624518871307373
1.2510321140289307,0.3076710104942322,1.5587031841278076
0.9871042966842651,0.2545017600059509,1.2416059970855713
0.6917226910591125,0.21803341805934906,0.9097561240196228
0.4274863600730896,0.19506177306175232,0.6225481033325195
0.22673657536506653,0.1734578162431717,0.4001944065093994
0.09697161614894867,0.14823655784130096,0.24520817399024963
0.028439845889806747,0.12211009114980698,0.15054993331432343
0.0049212719313800335,0.0998583734035492,0.10477964580059052
0.010037116706371307,0.08387838304042816,0.09391549974679947
0.030279435217380524,0.07210862636566162,0.10238806158304214
0.05587204918265343,0.06085924431681633,0.11673129349946976
0.0804530680179596,0.04906828701496124,0.12952135503292084
0.10036856681108475,0.038220252841711044,0.1385888159275055
0.11395581066608429,0.030163943767547607,0.1441197544336319
0.12093877792358398,0.025615401566028595,0.14655417203903198
0.12193144857883453,0.023902026936411858,0.14583347737789154
0.11803387850522995,0.023641886189579964,0.14167577028274536
0.11050267517566681,0.02364973910152912,0.13415241241455078
0.10050803422927856,0.02331540547311306,0.12382344156503677
0.08899355679750443,0.022427299991250038,0.11142085492610931
0.0766570195555687,0.02098694071173668,0.09764395654201508
0.06402921676635742,0.019190823659300804,0.08322004228830338
0.05157913640141487,0.017341114580631256,0.06892025470733643
0.03977243974804878,0.015660814940929413,0.055433254688978195
0.029062887653708458,0.014234345406293869,0.04329723119735718
0.019840244203805923,0.013116957619786263,0.032957203686237335
0.012372666038572788,0.0124233178794384,0.024795982986688614
0.006770140957087278,0.012249808758497238,0.019019950181245804
0.002982506062835455,0.012502383440732956,0.015484889969229698
0.000827730749733746,0.01285014022141695,0.013677870854735374
3.540462057571858e-05,0.01290917955338955,0.012944583781063557
0.00029157762764953077,0.012500510551035404,0.012792088091373444
0.0012763916747644544,0.011748452670872211,0.013024844229221344
0.0026910260785371065,0.01094940584152937,0.013640431687235832
0.004272363614290953,0.010345877148211002,0.014618240296840668
0.0057973433285951614,0.009994781576097012,0.0157921239733696
0.007082577794790268,0.009793096221983433,0.016875673085451126
0.00798658188432455,0.009580997750163078,0.017567578703165054
0.00841811764985323,0.009240187704563141,0.017658304423093796
0.00834799837321043,0.00875595211982727,0.017103951424360275
0.007815365679562092,0.008208123035728931,0.016023488715291023
0.0069203791208565235,0.007700504269450903,0.014620883390307426
0.005801649764180183,0.007303926162421703,0.013105575926601887
0.004605411551892757,0.007043224759399891,0.011648636311292648
0.003456243546679616,0.00690013263374567,0.010356375947594643
0.0024403282441198826,0.00681989686563611,0.009260225109755993
0.0016046557575464249,0.006729381624609232,0.00833403691649437
0.0009683846728876233,0.006563178263604641,0.0075315628200769424
0.0005368857528083026,0.006284723989665508,0.006821609567850828
0.0003093332052230835,0.005895329173654318,0.006204662378877401
0.00027670542476698756,0.005431151948869228,0.005707857199013233
0.00041412131395190954,0.004949378781020641,0.005363500211387873
0.0006756256334483624,0.004507283680140972,0.0051829093135893345
0.0009978899033740163,0.004143630154430866,0.005141519941389561
0.001313328742980957,0.0038720869924873114,0.005185415968298912
0.0015667674597352743,0.0036874047946184874,0.005254172254353762
0.0017277230508625507,0.003575721522793174,0.005303444340825081
0.0017927472945302725,0.003521038219332695,0.005313785746693611
0.0017782992217689753,0.00350724789313972,0.005285547114908695
0.001709048287011683,0.003518944839015603,0.005227993242442608
0.0016078187618404627,0.0035423303488641977,0.00515014911070466
0.001490584691055119,0.0035657398402690887,0.005056324414908886
0.0013666133163496852,0.0035798558965325356,0.004946469329297543
0.00124122214037925,0.0035781783517450094,0.004819400608539581
0.0011183982715010643,0.003557317890226841,0.004675716161727905
0.0010017398744821548,0.0035168060567229986,0.004518546164035797
0.0008941534324549139,0.00345925847068429,0.004353411961346865
0.0007971023442223668,0.0033914227969944477,0.004188525024801493
0.0007104793330654502,0.0033242953941226006,0.004034774843603373
0.0006331801414489746,0.0032698558643460274,0.003903036005795002
0.0005640367744490504,0.0032351664267480373,0.0037992033176124096
0.0005024276324547827,0.00321834534406662,0.0037207729183137417
0.00044837576569989324,0.003210134105756879,0.003658509813249111
0.0004022151988465339,0.003199920756742358,0.0036021359264850616
0.00036403813282959163,0.003181590000167489,0.003545628162100911
0.00033337343484163284,0.003155637765303254,0.003489011200144887
0.0003091384132858366,0.003127109492197633,0.003436247818171978
0.00028992630541324615,0.003101174719631672,0.003391101025044918
0.0002744163211900741,0.0030792485922574997,0.0033536648843437433
0.0002617951249703765,0.003058274742215872,0.00332006998360157
0.0002519547997508198,0.0030332827009260654,0.0032852375879883766
0.0002454387431498617,0.0030005117878317833,0.0032459504436701536
0.00024314910115208477,0.002958647906780243,0.003201796906068921
0.0002459071984048933,0.0029082561377435923,0.003154163248836994
0.000254046666668728,0.002850990742444992,0.0031050373800098896
0.0002670249668881297,0.002789207501336932,0.00305623235180974
0.00028320951969362795,0.0027256496250629425,0.003008859232068062
0.00029998860554769635,0.002663144376128912,0.0029631329234689474
0.0003142343193758279,0.0026044331025332212,0.0029186673928052187
0.00032312734401784837,0.0025519521441310644,0.0028750794008374214
0.00032502991962246597,0.002507425146177411,0.0028324550949037075
